id,nom,type,latitude,longitude,district_region,departement_commune,verifie,niveau,shapeID
cmre66yzr0042b8aeqve7zkp9,Bas-Sassandra,district,5.34835355938184,-6.715871282946861,Bas-Sassandra,,oui,ADM1,83157122B96959932745266
cmre66yzx0044b8aejktxxhmy,Denguele,district,9.55612880818134,-7.327692622031486,Denguele,,oui,ADM1,83157122B12160353323799
cmre66z020046b8aewb3imgou,District Autonome D'Abidjan,district,5.455369505855253,-4.028274072248822,District Autonome D'Abidjan,,oui,ADM1,83157122B76853064397847
cmre66z060048b8ae3wu1d542,District Autonome De Yamoussoukro,district,6.858392246641197,-5.218769534138706,District Autonome De Yamoussoukro,,oui,ADM1,83157122B30232425959699
cmre66z0a004ab8aeksxpjpxq,Goh-Djiboua,district,5.809990297757267,-5.528362551427699,Goh-Djiboua,,oui,ADM1,83157122B34711482467037
cmre66z0f004cb8aegvjcm2gu,Lacs,district,7.145571461798714,-4.485768719945141,Lacs,,oui,ADM1,83157122B20352934117266
cmre66z0k004eb8aeq8abhoc4,Montagnes,district,6.934795316285243,-7.752073659821709,Montagnes,,oui,ADM1,83157122B69310198422077
cmre66z0p004gb8ae0sj3mm0z,Sassandra-Marahoue,district,7.122221113657075,-6.274161531036566,Sassandra-Marahoue,,oui,ADM1,83157122B74959515955757
cmre66z0u004ib8ae8ixk92z2,Savanes,district,9.572482741342386,-5.451451557669833,Savanes,,oui,ADM1,83157122B28791092437733
cmre66z10004kb8ae6n1uzbsu,Valle Du Bandama,district,8.383731147014316,-4.97548857852992,Valle Du Bandama,,oui,ADM1,83157122B62906982633778
cmre66z15004mb8aevlunvfgk,Woroba,district,8.404008064637338,-7.019215737242329,Woroba,,oui,ADM1,83157122B58892240487392
cmre66z19004ob8aeulqbgdck,Zanzan,district,8.588659913523736,-3.610335988609427,Zanzan,,oui,ADM1,83157122B79983119233374
cmre66z1e004qb8aet8mdhd30,Lagunes,district,5.767246913347036,-4.217729757775837,Lagunes,,oui,ADM1,83157122B73612976130091
cmre66z1j004sb8ae6oowohe8,Comoe,district,6.182570449260337,-3.397934566427574,Comoe,,oui,ADM1,83157122B96325295181308
