id,nom,type,latitude,longitude,district_region,departement_commune,verifie,statut,cycle,source
cmreo024d0015126qo1gaizci,Université Félix Houphouët-Boigny,universite,5.3467,-3.9869,Abidjan,Cocody,oui,public,supérieur,Ministère de l'Éducation Nationale
cmreo024i0017126qkkmft9mb,Université Nangui Abrogoua,universite,5.3838,-4,Abidjan,Abobo,oui,public,supérieur,Ministère de l'Éducation Nationale
cmreo024m0019126qi1nsb8kg,INP-HB (Inst. National Polytechnique),grande_ecole,6.8081,-5.243,Yamoussoukro,Yamoussoukro,oui,public,supérieur,Ministère de l'Éducation Nationale
cmreo024r001b126qc7fidpqk,Université Alassane Ouattara,universite,7.6939,-5.03,Gbêkê,Bouaké,oui,public,supérieur,Ministère de l'Éducation Nationale
cmreo024v001d126qwzdibfcp,Université Jean Lorougnon Guédé,universite,6.8774,-6.4502,Haut-Sassandra,Daloa,oui,public,supérieur,Ministère de l'Éducation Nationale
cmreo0250001f126qwdz23f81,Université Péléforo Gon Coulibaly,universite,9.458,-5.6296,Poro,Korhogo,oui,public,supérieur,Ministère de l'Éducation Nationale
cmreo0255001h126qlxwp1v4z,Lycée Classique d'Abidjan,lycee,5.34,-4.01,Abidjan,Cocody,oui,public,secondaire,Ministère de l'Éducation Nationale
cmreo0259001j126q7w3setzk,Lycée Municipal de Yopougon,lycee,5.345,-4.08,Abidjan,Yopougon,oui,public,secondaire,Ministère de l'Éducation Nationale
cmreo025d001l126q7h8d8sen,Lycée Moderne de San-Pédro,lycee,4.7485,-6.6363,San-Pédro,San-Pédro,oui,public,secondaire,Ministère de l'Éducation Nationale
cmreo025h001n126qos4i7xrm,Lycée Moderne de Man,lycee,7.4125,-7.5538,Tonkpi,Man,oui,public,secondaire,Ministère de l'Éducation Nationale
