id,nom,type,latitude,longitude,district_region,departement_commune,verifie,niveau,shapeID
cmre66z1x004wb8ae5nqupyvr,Agneby-Tiassa,region,5.884727812918224,-4.450036346487829,Agneby-Tiassa,,oui,ADM2,98640826B52449815511854
cmre66z21004yb8ae4e5b913m,Bafing,region,8.358426762071165,-7.636127452891102,Bafing,,oui,ADM2,98640826B37750272367318
cmre66z250050b8aepksxqrfo,Bagoue,region,10.00419076595417,-6.486974185484127,Bagoue,,oui,ADM2,98640826B26044148659027
cmre66z2a0052b8ae0vn7yc6x,Belier,region,6.845538507115878,-5.019986148869449,Belier,,oui,ADM2,98640826B5123145245776
cmre66z2f0054b8ae0kxreecz,Bere,region,8.424663530809354,-6.121003376990656,Bere,,oui,ADM2,98640826B43857880322183
cmre66z2j0056b8aeglshtnb9,Bounkani,region,9.077314059112325,-3.584473188994684,Bounkani,,oui,ADM2,98640826B90856530326373
cmre66z2n0058b8ae1wch9m6r,Cavally,region,6.396239480164637,-7.93025790665694,Cavally,,oui,ADM2,98640826B42717034718743
cmre66z2s005ab8ael4r4mdy9,District Autonome D'Abidjan,region,5.456438214710454,-4.031644156669639,District Autonome D'Abidjan,,oui,ADM2,98640826B76853064397847
cmre66z2v005cb8ae8iihnzav,District Autonome De Yamoussoukro,region,6.859585182190526,-5.216162064785665,District Autonome De Yamoussoukro,,oui,ADM2,98640826B30232425959699
cmre66z30005eb8ae08zk4d51,Folon,region,10.09114909684824,-7.369190261533163,Folon,,oui,ADM2,98640826B69523806833990
cmre66z34005gb8aekr3fw0ir,Gbeke,region,7.705047737341137,-5.164130660490915,Gbeke,,oui,ADM2,98640826B94469137469464
cmre66z38005ib8aew0savasq,Gbokle,region,5.316250609125889,-6.015368458635908,Gbokle,,oui,ADM2,98640826B37905317988050
cmre66z3c005kb8aethbnfuzu,Goh,region,6.212528530722263,-5.735855986607364,Goh,,oui,ADM2,98640826B83650084589555
cmre66z3g005mb8aewu6ja2df,Gontougo,region,7.954110843416875,-3.524925816282193,Gontougo,,oui,ADM2,98640826B5040161076408
cmre66z3k005ob8aefxbz9tdf,Grands Ponts,region,5.427030436451663,-4.911245895955964,Grands Ponts,,oui,ADM2,98640826B83353125268201
cmre66z3o005qb8aeh406cmro,Guemon,region,7.124159539284554,-7.344510174965978,Guemon,,oui,ADM2,98640826B22329502030217
cmre66z3s005sb8aew1km23pj,Hambol,region,8.615285616080273,-4.884498660003548,Hambol,,oui,ADM2,98640826B80955316471767
cmre66z3w005ub8aega0zc3wo,Haut-Sassandra,region,7.099651067123827,-6.767389327368035,Haut-Sassandra,,oui,ADM2,98640826B13622385448205
cmre66z40005wb8aebl0w1p57,Iffou,region,7.515394977343394,-4.025466295203814,Iffou,,oui,ADM2,98640826B12556457947993
cmre66z44005yb8ae1lskn6pe,Indenie-Djuablin,region,6.631852840304391,-3.478694071655906,Indenie-Djuablin,,oui,ADM2,98640826B87987908031267
cmre66z480060b8aegay685x1,Kabadougou,region,9.320482109878496,-7.359707054976474,Kabadougou,,oui,ADM2,98640826B2974603948771
cmre66z4c0062b8aep502s9pi,Loh-Djiboua,region,5.61298597920173,-5.386878131823478,Loh-Djiboua,,oui,ADM2,98640826B50838995581112
cmre66z4g0064b8ae1nbbt3h6,Marahoue,region,7.154059840648789,-5.750125567825908,Marahoue,,oui,ADM2,98640826B99867209198649
cmre66z4k0066b8ae8bvk80xu,Me,region,5.877807624081712,-3.68903238281121,Me,,oui,ADM2,98640826B88194950838049
cmre66z4o0068b8aef87eby8m,Nawa,region,5.711662295029751,-6.503693323134603,Nawa,,oui,ADM2,98640826B56207519899242
cmre66z4s006ab8aeuz1dvpz8,Poro,region,9.5220906418568,-5.732308007414815,Poro,,oui,ADM2,98640826B2900878653745
cmre66z4x006cb8aew5rwd51l,San Pedro,region,5.077378404194916,-7.086779593199945,San Pedro,,oui,ADM2,98640826B43081365176028
cmre66z51006eb8aejnxu5umh,Sud-Comoe,region,5.503839942235796,-3.222363108888558,Sud-Comoe,,oui,ADM2,98640826B87421109468433
cmre66z56006gb8ae32t70irt,Tchologo,region,9.555979809264274,-4.879551863488867,Tchologo,,oui,ADM2,98640826B18937667882346
cmre66z5a006ib8aeyu2karsr,Tonkpi,region,7.345078383045245,-7.855937354455299,Tonkpi,,oui,ADM2,98640826B98350089255378
cmre66z5f006kb8aexqmxldmn,Worodougou,region,8.59068669154566,-6.787040430538805,Worodougou,,oui,ADM2,98640826B81277132888560
cmre66z5j006mb8aedlnx3our,N'Zi,region,6.878798072575642,-4.648671915705526,N'Zi,,oui,ADM2,98640826B73875625736421
cmre66z5n006ob8aex3mh6xkm,Moronou,region,6.626723279262389,-4.306536456363585,Moronou,,oui,ADM2,98640826B53162767921513
