id,nom,type,latitude,longitude,district_region,departement_commune,verifie,niveau,source
cmrev3l9i001pyo7ebyn36jb2,CHU de Cocody,chu,5.348,-3.986,Abidjan,Cocody,oui,tertiaire,Ministère de la Santé et de l'Hygiène Publique
cmrev3l9n001ryo7eih10jqhb,CHU de Treichville,chu,5.293,-4.002,Abidjan,Treichville,oui,tertiaire,Ministère de la Santé et de l'Hygiène Publique
cmrev3l9r001tyo7elduzcn7i,CHU de Yopougon,chu,5.34,-4.085,Abidjan,Yopougon,oui,tertiaire,Ministère de la Santé et de l'Hygiène Publique
cmrev3l9w001vyo7emjt82ycd,Institut de Cardiologie d'Abidjan,institut,5.349,-3.988,Abidjan,Cocody,oui,spécialisé,Ministère de la Santé et de l'Hygiène Publique
cmrev3la0001xyo7ebrh3gbdx,CHU de Bouaké,chu,7.69,-5.03,Gbêkê,Bouaké,oui,tertiaire,Ministère de la Santé et de l'Hygiène Publique
cmrev3la5001zyo7e8gqbx8a1,CHR de Daloa,chr,6.8774,-6.4502,Haut-Sassandra,Daloa,oui,régional,Ministère de la Santé et de l'Hygiène Publique
cmrev3la90021yo7evwjaqyzq,CHR de Korhogo,chr,9.458,-5.6296,Poro,Korhogo,oui,régional,Ministère de la Santé et de l'Hygiène Publique
cmrev3lad0023yo7ehdeiol83,CHR de San-Pédro,chr,4.7485,-6.6363,San-Pédro,San-Pédro,oui,régional,Ministère de la Santé et de l'Hygiène Publique
cmrev3lah0025yo7epupp4x4k,CHR de Man,chr,7.4125,-7.5538,Tonkpi,Man,oui,régional,Ministère de la Santé et de l'Hygiène Publique
cmrev3lam0027yo7er06ca7s1,CHR d'Abengourou,chr,6.7297,-3.4964,Indénié-Djuablin,Abengourou,non,régional,OpenStreetMap
cmrev3lfy0047yo7eq9o9hdev,Hôpital Général de Divo,hopital,5.845400000000001,-5.3512,Lôh-Djiboua,Divo,non,général,OpenStreetMap
cmrev3lga004byo7e04f5c23p,Hôpital Général de Gagnoa,hopital,6.1379,-5.944599999999999,Gôh,Gagnoa,non,général,OpenStreetMap
cmrev3lgk004fyo7ek4417mib,Hôpital Général de Soubré,hopital,5.7907,-6.5876,Nawa,Soubré,non,général,OpenStreetMap
cmrev3lgv004jyo7ehbd45mn7,Hôpital Général de Séguéla,hopital,7.9671,-6.6671,Worodougou,Séguéla,non,général,OpenStreetMap
cmrev3lh8004nyo7erbnyc2d6,Hôpital Général de Odienné,hopital,9.506,-7.5607,Kabadougou,Odienné,non,général,OpenStreetMap
cmrev3lhj004ryo7edsx5e8jd,Hôpital Général de Bondoukou,hopital,8.0462,-2.794,Gontougo,Bondoukou,non,général,OpenStreetMap
cmrev3lhs004vyo7e5n6ycgpw,Hôpital Général de Bouna,hopital,9.2727,-2.994,Bounkani,Bouna,non,général,OpenStreetMap
cmrev3li4004zyo7eq5g2wty2,Hôpital Général de Ferkessédougou,hopital,9.5988,-5.1887,Tchologo,Ferkessédougou,non,général,OpenStreetMap
cmrev3lig0053yo7el6lkbedv,Hôpital Général de Boundiali,hopital,9.5277,-6.4809,Bagoué,Boundiali,non,général,OpenStreetMap
cmrev3lir0057yo7eiqb09x7f,Hôpital Général de Katiola,hopital,8.1393,-5.093999999999999,Hambol,Katiola,non,général,OpenStreetMap
cmrev3lj3005byo7e5okoaktn,Hôpital Général de Dabou,hopital,5.3316,-4.3712,Grands-Ponts,Dabou,non,général,OpenStreetMap
cmrev3lje005fyo7ep1sdkt71,Hôpital Général de Agboville,hopital,5.934,-4.2071,Agnéby-Tiassa,Agboville,non,général,OpenStreetMap
cmrev3ljq005jyo7ea8pj70bw,Hôpital Général de Adzopé,hopital,6.112900000000001,-3.8559,La Mé,Adzopé,non,général,OpenStreetMap
cmrev3lk5005nyo7eo0qgy9jw,Hôpital Général de Aboisso,hopital,5.472700000000001,-3.194,Sud-Comoé,Aboisso,non,général,OpenStreetMap
cmrev3lkg005ryo7e84z7b898,Hôpital Général de Dimbokro,hopital,6.656000000000001,-4.694,N'Zi,Dimbokro,non,général,OpenStreetMap
cmrev3lks005vyo7eepcw1e9m,Hôpital Général de Bongouanou,hopital,6.656000000000001,-4.194,Moronou,Bongouanou,non,général,OpenStreetMap
cmrev3ll3005zyo7e6o35pvlp,Hôpital Général de Toumodi,hopital,6.5727,-5.0107,Bélier,Toumodi,non,général,OpenStreetMap
cmrev3lld0063yo7eyv9dkmle,Hôpital Général de Duékoué,hopital,6.7479,-7.3376,Guémon,Duékoué,non,général,OpenStreetMap
cmrev3llo0067yo7ecitaq9nu,Hôpital Général de Guiglo,hopital,6.5502,-7.4809,Cavally,Guiglo,non,général,OpenStreetMap
cmrev3llz006byo7efmw5hhm8,Hôpital Général de Sassandra,hopital,4.956,-6.0773,Gbôklé,Sassandra,non,général,OpenStreetMap
cmrev3lmb006fyo7em1lxjs74,Hôpital Général de Minignan,hopital,9.6257,-7.8282,Folon,Minignan,non,général,OpenStreetMap
cmrev3ln8006jyo7eq1mgjoi3,Hôpital Général de Touba,hopital,8.2893,-7.6773,Bafing,Touba,non,général,OpenStreetMap
cmrev3lnj006nyo7e9f8uxmv5,Hôpital Général de Bouaflé,hopital,6.9968,-5.7384,Marahoué,Bouaflé,non,général,OpenStreetMap
cmrev3lnt006ryo7els6pjqmv,Hôpital Général de Issia,hopital,6.498200000000001,-6.5812,Haut-Sassandra,Issia,non,général,OpenStreetMap
cmrev3lo4006vyo7exg4oxmrv,Hôpital Général de Vavoua,hopital,7.3893,-6.4718,Haut-Sassandra,Vavoua,non,général,OpenStreetMap
cmrev3loe006zyo7em21ur0xr,Hôpital Général de Grand-Bassam,hopital,5.2178,-3.7326,Sud-Comoé,Grand-Bassam,non,général,OpenStreetMap
cmrev3loq0073yo7euq8lgefh,Hôpital Général de Tanda,hopital,7.808800000000001,-3.1607,Gontougo,Tanda,non,général,OpenStreetMap
cmrev3lp20077yo7ey82k4868,Hôpital Général de Daoukro,hopital,7.0646,-3.9571,Iffou,Daoukro,non,général,OpenStreetMap
cmrev3lpf007byo7ecyecg7r2,Hôpital Général de Bocanda,hopital,7.069100000000001,-4.487299999999999,N'Zi,Bocanda,non,général,OpenStreetMap
cmrev3lpq007fyo7e389myugy,Hôpital Général de Sinfra,hopital,6.626300000000001,-5.9159,Marahoué,Sinfra,non,général,OpenStreetMap
